model,head,condition,layer,step,mean_drift,mean_entropy
pythia-2.8b-deduped,-1,base,resid_final,42,0.29376220703125,
pythia-2.8b-deduped,-1,base,resid0,43,0.891845703125,
pythia-2.8b-deduped,-1,base,resid_mid,43,0.26861572265625,
pythia-2.8b-deduped,-1,base,resid_final,43,0.5498046875,
pythia-2.8b-deduped,-1,base,resid0,44,0.87957763671875,
pythia-2.8b-deduped,-1,base,resid_mid,44,0.2384033203125,
pythia-2.8b-deduped,-1,base,resid_final,44,0.376708984375,
pythia-2.8b-deduped,-1,base,resid0,45,0.73846435546875,
pythia-2.8b-deduped,-1,base,resid_mid,45,0.2091064453125,
pythia-2.8b-deduped,-1,base,resid_final,45,0.29705810546875,
pythia-2.8b-deduped,-1,base,resid0,46,0.88116455078125,
pythia-2.8b-deduped,-1,base,resid_mid,46,0.25067138671875,
pythia-2.8b-deduped,-1,base,resid_final,46,0.505126953125,
pythia-2.8b-deduped,-1,base,resid0,47,0.817626953125,
pythia-2.8b-deduped,-1,base,resid_mid,47,0.23486328125,
pythia-2.8b-deduped,-1,base,resid_final,47,0.29345703125,
pythia-2.8b-deduped,-1,base,resid0,48,0.818603515625,
pythia-2.8b-deduped,-1,base,resid_mid,48,0.24053955078125,
pythia-2.8b-deduped,-1,base,resid_final,48,0.3345947265625,
pythia-2.8b-deduped,-1,base,resid0,49,0.88604736328125,
pythia-2.8b-deduped,-1,base,resid_mid,49,0.22210693359375,
pythia-2.8b-deduped,-1,base,resid_final,49,0.58636474609375,
pythia-2.8b-deduped,-1,base,resid0,50,0.9249267578125,
pythia-2.8b-deduped,-1,base,resid_mid,50,0.2425537109375,
pythia-2.8b-deduped,-1,base,resid_final,50,0.432861328125,
pythia-2.8b-deduped,-1,base,resid0,51,0.93084716796875,
pythia-2.8b-deduped,-1,base,resid_mid,51,0.2476806640625,
pythia-2.8b-deduped,-1,base,resid_final,51,0.360595703125,
pythia-2.8b-deduped,-1,base,resid0,52,0.94085693359375,
pythia-2.8b-deduped,-1,base,resid_mid,52,0.2325439453125,
pythia-2.8b-deduped,-1,base,resid_final,52,0.35791015625,
pythia-2.8b-deduped,-1,base,resid0,53,0.8636474609375,
pythia-2.8b-deduped,-1,base,resid_mid,53,0.2723388671875,
pythia-2.8b-deduped,-1,base,resid_final,53,0.3853759765625,
pythia-2.8b-deduped,-1,base,resid0,54,0.81414794921875,
pythia-2.8b-deduped,-1,base,resid_mid,54,0.23388671875,
pythia-2.8b-deduped,-1,base,resid_final,54,0.275146484375,
pythia-2.8b-deduped,-1,base,resid0,55,0.83026123046875,
pythia-2.8b-deduped,-1,base,resid_mid,55,0.2415771484375,
pythia-2.8b-deduped,-1,base,resid_final,55,0.50311279296875,
pythia-2.8b-deduped,-1,base,resid0,56,0.73260498046875,
pythia-2.8b-deduped,-1,base,resid_mid,56,0.27203369140625,
pythia-2.8b-deduped,-1,base,resid_final,56,0.48626708984375,
pythia-2.8b-deduped,-1,base,resid0,57,0.69891357421875,
pythia-2.8b-deduped,-1,base,resid_mid,57,0.2440185546875,
pythia-2.8b-deduped,-1,base,resid_final,57,0.5084228515625,
pythia-2.8b-deduped,-1,base,resid0,58,0.7593994140625,
pythia-2.8b-deduped,-1,base,resid_mid,58,0.25689697265625,
pythia-2.8b-deduped,-1,base,resid_final,58,0.51690673828125,
pythia-2.8b-deduped,-1,base,resid0,59,0.8399658203125,
pythia-2.8b-deduped,-1,base,resid_mid,59,0.26031494140625,
pythia-2.8b-deduped,-1,base,resid_final,59,0.351318359375,
pythia-2.8b-deduped,-1,base,resid0,60,0.9447021484375,
pythia-2.8b-deduped,-1,base,resid_mid,60,0.27410888671875,
pythia-2.8b-deduped,-1,base,resid_final,60,0.49114990234375,
pythia-2.8b-deduped,-1,base,resid0,61,0.88458251953125,
pythia-2.8b-deduped,-1,base,resid_mid,61,0.25244140625,
pythia-2.8b-deduped,-1,base,resid_final,61,0.3892822265625,
pythia-2.8b-deduped,-1,base,resid0,62,0.833740234375,
pythia-2.8b-deduped,-1,base,resid_mid,62,0.2298583984375,
pythia-2.8b-deduped,-1,base,resid_final,62,0.414306640625,
pythia-2.8b-deduped,-1,base,logits,63,,
pythia-2.8b-deduped,1,ablated,resid0,0,0.95013427734375,
pythia-2.8b-deduped,1,ablated,resid_mid,0,0.2264404296875,
pythia-2.8b-deduped,1,ablated,resid_final,0,0.3023681640625,
pythia-2.8b-deduped,1,ablated,resid0,1,0.8353271484375,
pythia-2.8b-deduped,1,ablated,resid_mid,1,0.22784423828125,
pythia-2.8b-deduped,1,ablated,resid_final,1,0.4049072265625,
pythia-2.8b-deduped,1,ablated,resid0,2,0.623046875,
pythia-2.8b-deduped,1,ablated,resid_mid,2,0.14208984375,
pythia-2.8b-deduped,1,ablated,resid_final,2,0.1722412109375,
pythia-2.8b-deduped,1,ablated,resid0,3,0.516357421875,
pythia-2.8b-deduped,1,ablated,resid_mid,3,0.15771484375,
pythia-2.8b-deduped,1,ablated,resid_final,3,0.2001953125,
pythia-2.8b-deduped,1,ablated,resid0,4,0.573974609375,
pythia-2.8b-deduped,1,ablated,resid_mid,4,0.156982421875,
pythia-2.8b-deduped,1,ablated,resid_final,4,0.194580078125,
pythia-2.8b-deduped,1,ablated,resid0,5,0.91864013671875,
pythia-2.8b-deduped,1,ablated,resid_mid,5,0.25103759765625,
pythia-2.8b-deduped,1,ablated,resid_final,5,0.60296630859375,
pythia-2.8b-deduped,1,ablated,resid0,6,0.88006591796875,
pythia-2.8b-deduped,1,ablated,resid_mid,6,0.24005126953125,
pythia-2.8b-deduped,1,ablated,resid_final,6,0.39019775390625,
pythia-2.8b-deduped,1,ablated,resid0,7,0.94134521484375,
pythia-2.8b-deduped,1,ablated,resid_mid,7,0.21649169921875,
pythia-2.8b-deduped,1,ablated,resid_final,7,0.33428955078125,
pythia-2.8b-deduped,1,ablated,resid0,8,0.92816162109375,
pythia-2.8b-deduped,1,ablated,resid_mid,8,0.23699951171875,
pythia-2.8b-deduped,1,ablated,resid_final,8,0.409912109375,
pythia-2.8b-deduped,1,ablated,resid0,9,0.9215087890625,
pythia-2.8b-deduped,1,ablated,resid_mid,9,0.26025390625,
pythia-2.8b-deduped,1,ablated,resid_final,9,0.40863037109375,
pythia-2.8b-deduped,1,ablated,resid0,10,0.88043212890625,
pythia-2.8b-deduped,1,ablated,resid_mid,10,0.22509765625,
pythia-2.8b-deduped,1,ablated,resid_final,10,0.36688232421875,
pythia-2.8b-deduped,1,ablated,resid0,11,0.79864501953125,
pythia-2.8b-deduped,1,ablated,resid_mid,11,0.20867919921875,
pythia-2.8b-deduped,1,ablated,resid_final,11,0.338623046875,
pythia-2.8b-deduped,1,ablated,resid0,12,0.89483642578125,
pythia-2.8b-deduped,1,ablated,resid_mid,12,0.24609375,
pythia-2.8b-deduped,1,ablated,resid_final,12,0.38079833984375,
pythia-2.8b-deduped,1,ablated,resid0,13,0.86163330078125,
pythia-2.8b-deduped,1,ablated,resid_mid,13,0.2197265625,
pythia-2.8b-deduped,1,ablated,resid_final,13,0.31201171875,
pythia-2.8b-deduped,1,ablated,resid0,14,0.83935546875,
pythia-2.8b-deduped,1,ablated,resid_mid,14,0.214599609375,
pythia-2.8b-deduped,1,ablated,resid_final,14,0.38336181640625,
pythia-2.8b-deduped,1,ablated,resid0,15,0.91473388671875,
pythia-2.8b-deduped,1,ablated,resid_mid,15,0.242919921875,
pythia-2.8b-deduped,1,ablated,resid_final,15,0.490478515625,
pythia-2.8b-deduped,1,ablated,resid0,16,0.866943359375,
pythia-2.8b-deduped,1,ablated,resid_mid,16,0.22906494140625,
pythia-2.8b-deduped,1,ablated,resid_final,16,0.32855224609375,
pythia-2.8b-deduped,1,ablated,resid0,17,0.81658935546875,
pythia-2.8b-deduped,1,ablated,resid_mid,17,0.2188720703125,
pythia-2.8b-deduped,1,ablated,resid_final,17,0.3720703125,
pythia-2.8b-deduped,1,ablated,resid0,18,0.81573486328125,
pythia-2.8b-deduped,1,ablated,resid_mid,18,0.22900390625,
pythia-2.8b-deduped,1,ablated,resid_final,18,0.349853515625,
pythia-2.8b-deduped,1,ablated,resid0,19,0.80548095703125,
pythia-2.8b-deduped,1,ablated,resid_mid,19,0.20062255859375,
pythia-2.8b-deduped,1,ablated,resid_final,19,0.36077880859375,
pythia-2.8b-deduped,1,ablated,resid0,20,0.806884765625,
pythia-2.8b-deduped,1,ablated,resid_mid,20,0.22021484375,
pythia-2.8b-deduped,1,ablated,resid_final,20,0.31591796875,
pythia-2.8b-deduped,1,ablated,resid0,21,0.81494140625,
pythia-2.8b-deduped,1,ablated,resid_mid,21,0.2235107421875,
pythia-2.8b-deduped,1,ablated,resid_final,21,0.40789794921875,
pythia-2.8b-deduped,1,ablated,resid0,22,0.91046142578125,
pythia-2.8b-deduped,1,ablated,resid_mid,22,0.2545166015625,
pythia-2.8b-deduped,1,ablated,resid_final,22,0.30010986328125,
pythia-2.8b-deduped,1,ablated,resid0,23,0.91925048828125,
pythia-2.8b-deduped,1,ablated,resid_mid,23,0.26385498046875,
pythia-2.8b-deduped,1,ablated,resid_final,23,0.35443115234375,
pythia-2.8b-deduped,1,ablated,resid0,24,0.84149169921875,
pythia-2.8b-deduped,1,ablated,resid_mid,24,0.21441650390625,
pythia-2.8b-deduped,1,ablated,resid_final,24,0.38470458984375,
pythia-2.8b-deduped,1,ablated,resid0,25,0.765380859375,
pythia-2.8b-deduped,1,ablated,resid_mid,25,0.23382568359375,
pythia-2.8b-deduped,1,ablated,resid_final,25,0.423095703125,
pythia-2.8b-deduped,1,ablated,resid0,26,0.7772216796875,
pythia-2.8b-deduped,1,ablated,resid_mid,26,0.24188232421875,
pythia-2.8b-deduped,1,ablated,resid_final,26,0.3175048828125,
pythia-2.8b-deduped,1,ablated,resid0,27,0.93878173828125,
pythia-2.8b-deduped,1,ablated,resid_mid,27,0.25372314453125,
pythia-2.8b-deduped,1,ablated,resid_final,27,0.318359375,
pythia-2.8b-deduped,1,ablated,resid0,28,0.78887939453125,
pythia-2.8b-deduped,1,ablated,resid_mid,28,0.23486328125,
pythia-2.8b-deduped,1,ablated,resid_final,28,0.324462890625,
pythia-2.8b-deduped,1,ablated,resid0,29,0.79168701171875,
pythia-2.8b-deduped,1,ablated,resid_mid,29,0.26348876953125,
pythia-2.8b-deduped,1,ablated,resid_final,29,0.32244873046875,
pythia-2.8b-deduped,1,ablated,resid0,30,0.9241943359375,
pythia-2.8b-deduped,1,ablated,resid_mid,30,0.24151611328125,
pythia-2.8b-deduped,1,ablated,resid_final,30,0.3509521484375,
pythia-2.8b-deduped,1,ablated,resid0,31,0.8765869140625,
pythia-2.8b-deduped,1,ablated,resid_mid,31,0.24151611328125,
pythia-2.8b-deduped,1,ablated,resid_final,31,0.363525390625,
pythia-2.8b-deduped,1,ablated,resid0,32,0.76519775390625,
pythia-2.8b-deduped,1,ablated,resid_mid,32,0.24993896484375,
pythia-2.8b-deduped,1,ablated,resid_final,32,0.40313720703125,
pythia-2.8b-deduped,1,ablated,resid0,33,0.6763916015625,
pythia-2.8b-deduped,1,ablated,resid_mid,33,0.23358154296875,
pythia-2.8b-deduped,1,ablated,resid_final,33,0.3555908203125,
pythia-2.8b-deduped,1,ablated,resid0,34,0.7764892578125,
pythia-2.8b-deduped,1,ablated,resid_mid,34,0.21759033203125,
pythia-2.8b-deduped,1,ablated,resid_final,34,0.4393310546875,
pythia-2.8b-deduped,1,ablated,resid0,35,0.7706298828125,
pythia-2.8b-deduped,1,ablated,resid_mid,35,0.2196044921875,
pythia-2.8b-deduped,1,ablated,resid_final,35,0.468505859375,
pythia-2.8b-deduped,1,ablated,resid0,36,0.88787841796875,
pythia-2.8b-deduped,1,ablated,resid_mid,36,0.24285888671875,
pythia-2.8b-deduped,1,ablated,resid_final,36,0.510009765625,
pythia-2.8b-deduped,1,ablated,resid0,37,0.9306640625,
pythia-2.8b-deduped,1,ablated,resid_mid,37,0.25897216796875,
pythia-2.8b-deduped,1,ablated,resid_final,37,0.39166259765625,
pythia-2.8b-deduped,1,ablated,resid0,38,0.82861328125,
pythia-2.8b-deduped,1,ablated,resid_mid,38,0.28277587890625,
pythia-2.8b-deduped,1,ablated,resid_final,38,0.3909912109375,
pythia-2.8b-deduped,1,ablated,resid0,39,0.9403076171875,
pythia-2.8b-deduped,1,ablated,resid_mid,39,0.2559814453125,
pythia-2.8b-deduped,1,ablated,resid_final,39,0.433837890625,
pythia-2.8b-deduped,1,ablated,resid0,40,0.90692138671875,
pythia-2.8b-deduped,1,ablated,resid_mid,40,0.26397705078125,
pythia-2.8b-deduped,1,ablated,resid_final,40,0.4169921875,
pythia-2.8b-deduped,1,ablated,resid0,41,0.847412109375,
pythia-2.8b-deduped,1,ablated,resid_mid,41,0.210693359375,
pythia-2.8b-deduped,1,ablated,resid_final,41,0.31488037109375,
pythia-2.8b-deduped,1,ablated,resid0,42,0.90899658203125,
pythia-2.8b-deduped,1,ablated,resid_mid,42,0.26287841796875,
pythia-2.8b-deduped,1,ablated,resid_final,42,0.43377685546875,
pythia-2.8b-deduped,1,ablated,resid0,43,0.8013916015625,
pythia-2.8b-deduped,1,ablated,resid_mid,43,0.22320556640625,
pythia-2.8b-deduped,1,ablated,resid_final,43,0.28533935546875,
pythia-2.8b-deduped,1,ablated,resid0,44,0.7696533203125,
pythia-2.8b-deduped,1,ablated,resid_mid,44,0.17791748046875,
pythia-2.8b-deduped,1,ablated,resid_final,44,0.3416748046875,
pythia-2.8b-deduped,1,ablated,resid0,45,0.86737060546875,
pythia-2.8b-deduped,1,ablated,resid_mid,45,0.223876953125,
pythia-2.8b-deduped,1,ablated,resid_final,45,0.478759765625,
pythia-2.8b-deduped,1,ablated,resid0,46,0.8182373046875,
pythia-2.8b-deduped,1,ablated,resid_mid,46,0.2723388671875,
pythia-2.8b-deduped,1,ablated,resid_final,46,0.4031982421875,
pythia-2.8b-deduped,1,ablated,resid0,47,0.794189453125,
pythia-2.8b-deduped,1,ablated,resid_mid,47,0.2188720703125,
pythia-2.8b-deduped,1,ablated,resid_final,47,0.3382568359375,
pythia-2.8b-deduped,1,ablated,resid0,48,0.5926513671875,
pythia-2.8b-deduped,1,ablated,resid_mid,48,0.19293212890625,
pythia-2.8b-deduped,1,ablated,resid_final,48,0.31939697265625,
pythia-2.8b-deduped,1,ablated,resid0,49,0.62384033203125,
pythia-2.8b-deduped,1,ablated,resid_mid,49,0.1790771484375,
pythia-2.8b-deduped,1,ablated,resid_final,49,0.2587890625,
pythia-2.8b-deduped,1,ablated,resid0,50,0.88934326171875,
pythia-2.8b-deduped,1,ablated,resid_mid,50,0.235595703125,
pythia-2.8b-deduped,1,ablated,resid_final,50,0.412109375,
pythia-2.8b-deduped,1,ablated,resid0,51,0.8609619140625,
pythia-2.8b-deduped,1,ablated,resid_mid,51,0.26275634765625,
pythia-2.8b-deduped,1,ablated,resid_final,51,0.3746337890625,
pythia-2.8b-deduped,1,ablated,resid0,52,0.76947021484375,
pythia-2.8b-deduped,1,ablated,resid_mid,52,0.247802734375,
pythia-2.8b-deduped,1,ablated,resid_final,52,0.40936279296875,
pythia-2.8b-deduped,1,ablated,resid0,53,0.57781982421875,
pythia-2.8b-deduped,1,ablated,resid_mid,53,0.2183837890625,
pythia-2.8b-deduped,1,ablated,resid_final,53,0.30535888671875,
pythia-2.8b-deduped,1,ablated,resid0,54,0.38250732421875,
pythia-2.8b-deduped,1,ablated,resid_mid,54,0.1397705078125,
pythia-2.8b-deduped,1,ablated,resid_final,54,0.22943115234375,
pythia-2.8b-deduped,1,ablated,resid0,55,0.68218994140625,
pythia-2.8b-deduped,1,ablated,resid_mid,55,0.2310791015625,
pythia-2.8b-deduped,1,ablated,resid_final,55,0.56494140625,
pythia-2.8b-deduped,1,ablated,resid0,56,0.84234619140625,
pythia-2.8b-deduped,1,ablated,resid_mid,56,0.23150634765625,
pythia-2.8b-deduped,1,ablated,resid_final,56,0.359375,
pythia-2.8b-deduped,1,ablated,resid0,57,0.927001953125,
pythia-2.8b-deduped,1,ablated,resid_mid,57,0.25390625,
pythia-2.8b-deduped,1,ablated,resid_final,57,0.5260009765625,
pythia-2.8b-deduped,1,ablated,resid0,58,0.78466796875,
pythia-2.8b-deduped,1,ablated,resid_mid,58,0.21728515625,
pythia-2.8b-deduped,1,ablated,resid_final,58,0.31097412109375,
pythia-2.8b-deduped,1,ablated,resid0,59,0.90716552734375,
pythia-2.8b-deduped,1,ablated,resid_mid,59,0.25445556640625,
pythia-2.8b-deduped,1,ablated,resid_final,59,0.39599609375,
pythia-2.8b-deduped,1,ablated,resid0,60,0.9376220703125,
pythia-2.8b-deduped,1,ablated,resid_mid,60,0.25970458984375,
pythia-2.8b-deduped,1,ablated,resid_final,60,0.3128662109375,
pythia-2.8b-deduped,1,ablated,resid0,61,0.7655029296875,
pythia-2.8b-deduped,1,ablated,resid_mid,61,0.2388916015625,
pythia-2.8b-deduped,1,ablated,resid_final,61,0.33551025390625,
pythia-2.8b-deduped,1,ablated,resid0,62,0.775146484375,
pythia-2.8b-deduped,1,ablated,resid_mid,62,0.220703125,
pythia-2.8b-deduped,1,ablated,resid_final,62,0.3114013671875,
pythia-2.8b-deduped,1,ablated,logits,63,,
pythia-2.8b-deduped,26,ablated,resid0,0,0.9573974609375,
pythia-2.8b-deduped,26,ablated,resid_mid,0,0.23968505859375,
pythia-2.8b-deduped,26,ablated,resid_final,0,0.31976318359375,
pythia-2.8b-deduped,26,ablated,resid0,1,0.8372802734375,
pythia-2.8b-deduped,26,ablated,resid_mid,1,0.23046875,
pythia-2.8b-deduped,26,ablated,resid_final,1,0.392333984375,
pythia-2.8b-deduped,26,ablated,resid0,2,0.6524658203125,
pythia-2.8b-deduped,26,ablated,resid_mid,2,0.19415283203125,
pythia-2.8b-deduped,26,ablated,resid_final,2,0.22406005859375,
pythia-2.8b-deduped,26,ablated,resid0,3,0.84881591796875,
pythia-2.8b-deduped,26,ablated,resid_mid,3,0.211181640625,
pythia-2.8b-deduped,26,ablated,resid_final,3,0.51226806640625,
pythia-2.8b-deduped,26,ablated,resid0,4,0.92803955078125,
pythia-2.8b-deduped,26,ablated,resid_mid,4,0.2220458984375,
pythia-2.8b-deduped,26,ablated,resid_final,4,0.3748779296875,
pythia-2.8b-deduped,26,ablated,resid0,5,0.89788818359375,
pythia-2.8b-deduped,26,ablated,resid_mid,5,0.22021484375,
pythia-2.8b-deduped,26,ablated,resid_final,5,0.3031005859375,
pythia-2.8b-deduped,26,ablated,resid0,6,0.870849609375,
pythia-2.8b-deduped,26,ablated,resid_mid,6,0.20361328125,
