layer,head,ld_abl,ld_base,d_ld,acc_abl,acc_base,d_acc,p_drop,kl_div,acc_flip_rate
8,7,3.102403125,3.17935,-0.07694687499999997,0.9186,0.92,-0.0014000000000000679,0.003917724609375,,0.0814
8,8,3.23479375,3.17935,0.055443750000000236,0.9252,0.92,0.005199999999999982,-0.01114259033203125,,0.0748
8,9,3.18656875,3.17935,0.0072187500000002736,0.923,0.92,0.0030000000000000027,0.014540966796875,,0.077
8,10,3.3337875,3.17935,0.15443750000000023,0.9288,0.92,0.008799999999999919,-0.03235047607421875,,0.0712
8,11,3.16618125,3.17935,-0.01316874999999973,0.9204,0.92,0.00039999999999995595,0.003485032653808594,,0.0796
9,0,3.10703125,3.17935,-0.07231874999999999,0.9118,0.92,-0.008199999999999985,-0.005766253662109375,,0.0882
9,1,3.20373125,3.17935,0.024381250000000243,0.9204,0.92,0.00039999999999995595,0.00043863677978515627,,0.0796
9,2,3.170371875,3.17935,-0.008978125000000059,0.9224,0.92,0.0023999999999999577,-0.000786456298828125,,0.0776
9,3,3.213015625,3.17935,0.033665625000000254,0.9248,0.92,0.0047999999999999154,-0.01619407958984375,,0.0752
9,4,3.21415,3.17935,0.034800000000000164,0.918,0.92,-0.0020000000000000018,0.00930133056640625,,0.082
9,5,3.1573125,3.17935,-0.02203749999999971,0.9148,0.92,-0.0052000000000000934,0.0233157470703125,,0.0852
9,6,3.4307625,3.17935,0.25141250000000026,0.913,0.92,-0.007000000000000006,0.015754144287109376,,0.087
9,7,3.167275,3.17935,-0.012074999999999836,0.921,0.92,0.0010000000000000009,-0.0051732666015625,,0.079
9,8,3.18620625,3.17935,0.00685625000000023,0.919,0.92,-0.0010000000000000009,0.0013340301513671876,,0.081
9,9,3.13440625,3.17935,-0.04494374999999984,0.9058,0.92,-0.01419999999999999,-0.0019326324462890624,,0.0942
9,10,3.185125,3.17935,0.005775000000000308,0.9188,0.92,-0.0012000000000000899,0.0004633880615234375,,0.0812
9,11,3.16821875,3.17935,-0.011131250000000037,0.9158,0.92,-0.0042000000000000925,0.00604202880859375,,0.0842
10,0,2.94761875,3.17935,-0.23173124999999972,0.9028,0.92,-0.017199999999999993,0.0493111083984375,,0.0972
10,1,3.226153125,3.17935,0.04680312500000028,0.9226,0.92,0.0025999999999999357,-0.0194251953125,,0.0774
10,2,3.156453125,3.17935,-0.022896874999999817,0.9158,0.92,-0.0042000000000000925,0.0164064453125,,0.0842
10,3,3.172090625,3.17935,-0.007259374999999846,0.9128,0.92,-0.007200000000000095,0.0025173492431640626,,0.0872
10,4,3.21301875,3.17935,0.033668749999999914,0.9176,0.92,-0.0024000000000000687,-0.0018116180419921876,,0.0824
10,5,3.19178125,3.17935,0.012431250000000116,0.9218,0.92,0.0017999999999999128,0.0019793426513671874,,0.0782
10,6,3.0018125,3.17935,-0.17753749999999968,0.9032,0.92,-0.016800000000000037,0.017806674194335938,,0.0968
10,7,4.1876125,3.17935,1.0082625000000003,0.9492,0.92,0.029200000000000004,-0.08393037109375,,0.0508
10,8,3.167328125,3.17935,-0.012021874999999849,0.9166,0.92,-0.0034000000000000696,0.01648642578125,,0.0834
10,9,3.260278125,3.17935,0.08092812500000024,0.9202,0.92,0.00019999999999997797,-0.007028662109375,,0.0798
10,10,3.1559875,3.17935,-0.02336249999999973,0.9142,0.92,-0.005800000000000027,0.00786324462890625,,0.0858
10,11,3.15234375,3.17935,-0.0270062499999999,0.8898,0.92,-0.030200000000000005,0.05321845703125,,0.1102
11,0,2.54005,3.17935,-0.6393,0.727,0.92,-0.19300000000000006,0.274878515625,,0.273
11,1,3.176425,3.17935,-0.0029249999999998444,0.9156,0.92,-0.0044000000000000705,0.0235003662109375,,0.0844
11,2,3.349315625,3.17935,0.16996562500000012,0.9286,0.92,0.008599999999999941,0.028772509765625,,0.0714
11,3,3.3524,3.17935,0.17304999999999993,0.9256,0.92,0.005599999999999938,0.02551328125,,0.0744
11,4,3.1736,3.17935,-0.005749999999999922,0.9184,0.92,-0.0016000000000000458,0.01302822265625,,0.0816
11,5,3.17896875,3.17935,-0.0003812499999997776,0.9074,0.92,-0.012600000000000056,0.0233759765625,,0.0926
11,6,3.1852875,3.17935,0.005937499999999929,0.918,0.92,-0.0020000000000000018,0.0135374755859375,,0.082
11,7,3.159584375,3.17935,-0.019765624999999787,0.9134,0.92,-0.00660000000000005,0.018941650390625,,0.0866
11,8,3.21866875,3.17935,0.03931875000000007,0.9232,0.92,0.0031999999999999806,-0.0275017333984375,,0.0768
11,9,3.21759375,3.17935,0.03824374999999991,0.9196,0.92,-0.00040000000000006697,-0.005765521240234375,,0.0804
11,10,3.76788125,3.17935,0.58853125,0.9334,0.92,0.013399999999999967,-0.12074052734375,,0.0666
11,11,3.2072875,3.17935,0.02793750000000017,0.9122,0.92,-0.007800000000000029,0.0238076171875,,0.0878
