layer,head,mean_value,rank
2,11,1.099609375,190
4,2,1.099609375,191
4,4,1.099609375,192
5,5,1.099609375,193
6,6,1.099609375,194
6,9,1.099609375,195
6,10,1.099609375,196
9,9,1.099609375,197
11,19,1.099609375,198
12,3,1.099609375,199
12,10,1.099609375,200
13,13,1.099609375,201
14,6,1.099609375,202
14,8,1.099609375,203
20,5,1.099609375,204
20,8,1.099609375,205
20,10,1.099609375,206
20,15,1.099609375,207
21,4,1.099609375,208
21,17,1.099609375,209
22,9,1.099609375,210
23,11,1.099609375,211
25,11,1.099609375,212
26,3,1.099609375,213
26,13,1.099609375,214
27,2,1.099609375,215
27,3,1.099609375,216
29,14,1.099609375,217
29,17,1.099609375,218
31,8,1.099609375,219
31,9,1.099609375,220
32,8,1.099609375,221
33,16,1.099609375,222
35,6,1.099609375,223
35,9,1.099609375,224
35,18,1.099609375,225
1,3,1.1005859375,226
1,12,1.1005859375,227
2,2,1.1005859375,228
3,3,1.1005859375,229
3,12,1.1005859375,230
4,0,1.1005859375,231
4,16,1.1005859375,232
5,8,1.1005859375,233
5,13,1.1005859375,234
6,5,1.1005859375,235
6,15,1.1005859375,236
6,17,1.1005859375,237
7,4,1.1005859375,238
7,15,1.1005859375,239
8,16,1.1005859375,240
9,1,1.1005859375,241
9,4,1.1005859375,242
9,11,1.1005859375,243
9,17,1.1005859375,244
10,2,1.1005859375,245
10,10,1.1005859375,246
11,2,1.1005859375,247
12,7,1.1005859375,248
13,9,1.1005859375,249
14,15,1.1005859375,250
17,14,1.1005859375,251
19,3,1.1005859375,252
20,17,1.1005859375,253
20,18,1.1005859375,254
21,15,1.1005859375,255
23,17,1.1005859375,256
24,3,1.1005859375,257
24,13,1.1005859375,258
24,15,1.1005859375,259
25,6,1.1005859375,260
26,1,1.1005859375,261
26,7,1.1005859375,262
27,5,1.1005859375,263
28,4,1.1005859375,264
28,16,1.1005859375,265
28,19,1.1005859375,266
29,9,1.1005859375,267
29,18,1.1005859375,268
