layer,head,mean_value,rank
7,6,1.412109375,120
7,13,1.412109375,121
7,15,1.412109375,122
8,13,1.412109375,123
9,2,1.412109375,124
12,1,1.412109375,125
14,7,1.412109375,126
16,1,1.412109375,127
16,10,1.412109375,128
19,5,1.412109375,129
20,10,1.412109375,130
21,5,1.412109375,131
22,9,1.412109375,132
4,0,1.4130859375,133
5,6,1.4130859375,134
6,3,1.4130859375,135
11,12,1.4130859375,136
12,11,1.4130859375,137
13,12,1.4130859375,138
14,2,1.4130859375,139
15,7,1.4130859375,140
15,9,1.4130859375,141
15,13,1.4130859375,142
17,13,1.4130859375,143
19,14,1.4130859375,144
23,8,1.4130859375,145
4,9,1.4140625,146
5,5,1.4140625,147
13,13,1.4140625,148
14,0,1.4140625,149
16,14,1.4140625,150
18,1,1.4140625,151
18,3,1.4140625,152
18,7,1.4140625,153
20,9,1.4140625,154
20,13,1.4140625,155
22,12,1.4140625,156
23,12,1.4140625,157
1,10,1.4150390625,158
2,11,1.4150390625,159
3,14,1.4150390625,160
7,1,1.4150390625,161
7,11,1.4150390625,162
10,12,1.4150390625,163
11,2,1.4150390625,164
11,11,1.4150390625,165
13,4,1.4150390625,166
13,6,1.4150390625,167
14,3,1.4150390625,168
15,6,1.4150390625,169
15,10,1.4150390625,170
16,2,1.4150390625,171
16,3,1.4150390625,172
16,13,1.4150390625,173
17,1,1.4150390625,174
17,4,1.4150390625,175
17,14,1.4150390625,176
18,5,1.4150390625,177
18,11,1.4150390625,178
21,4,1.4150390625,179
23,10,1.4150390625,180
1,2,1.416015625,181
3,1,1.416015625,182
3,8,1.416015625,183
4,6,1.416015625,184
4,8,1.416015625,185
5,7,1.416015625,186
7,4,1.416015625,187
8,7,1.416015625,188
8,8,1.416015625,189
9,0,1.416015625,190
10,8,1.416015625,191
10,11,1.416015625,192
12,4,1.416015625,193
14,12,1.416015625,194
16,6,1.416015625,195
16,7,1.416015625,196
17,6,1.416015625,197
17,9,1.416015625,198
18,4,1.416015625,199
20,7,1.416015625,200
21,2,1.416015625,201
22,10,1.416015625,202
4,12,1.4169921875,203
4,14,1.4169921875,204
5,0,1.4169921875,205
5,1,1.4169921875,206
5,3,1.4169921875,207
5,15,1.4169921875,208
6,2,1.4169921875,209
8,6,1.4169921875,210
9,15,1.4169921875,211
10,15,1.4169921875,212
13,11,1.4169921875,213
14,8,1.4169921875,214
15,0,1.4169921875,215
15,4,1.4169921875,216
16,4,1.4169921875,217
18,2,1.4169921875,218
19,2,1.4169921875,219
20,15,1.4169921875,220
21,0,1.4169921875,221
1,12,1.41796875,222
3,6,1.41796875,223
4,5,1.41796875,224
6,7,1.41796875,225
8,9,1.41796875,226
9,4,1.41796875,227
9,6,1.41796875,228
9,7,1.41796875,229
9,12,1.41796875,230
12,8,1.41796875,231
