layer,head,mean_value,rank
7,11,1.603515625,189
8,1,1.603515625,190
8,5,1.603515625,191
11,9,1.603515625,192
17,7,1.603515625,193
17,14,1.603515625,194
18,6,1.603515625,195
19,0,1.603515625,196
19,8,1.603515625,197
21,12,1.603515625,198
23,11,1.603515625,199
1,6,1.6044921875,200
2,6,1.6044921875,201
4,4,1.6044921875,202
5,2,1.6044921875,203
5,5,1.6044921875,204
6,6,1.6044921875,205
9,3,1.6044921875,206
11,7,1.6044921875,207
14,9,1.6044921875,208
16,3,1.6044921875,209
17,1,1.6044921875,210
18,12,1.6044921875,211
21,13,1.6044921875,212
3,3,1.60546875,213
3,10,1.60546875,214
5,4,1.60546875,215
5,10,1.60546875,216
6,7,1.60546875,217
7,4,1.60546875,218
7,5,1.60546875,219
7,6,1.60546875,220
8,7,1.60546875,221
9,4,1.60546875,222
10,2,1.60546875,223
10,5,1.60546875,224
13,5,1.60546875,225
14,5,1.60546875,226
14,10,1.60546875,227
15,9,1.60546875,228
15,11,1.60546875,229
16,12,1.60546875,230
17,9,1.60546875,231
19,2,1.60546875,232
19,15,1.60546875,233
20,1,1.60546875,234
20,7,1.60546875,235
23,13,1.60546875,236
5,0,1.6064453125,237
6,11,1.6064453125,238
6,14,1.6064453125,239
7,0,1.6064453125,240
7,3,1.6064453125,241
7,9,1.6064453125,242
7,10,1.6064453125,243
8,12,1.6064453125,244
8,13,1.6064453125,245
10,4,1.6064453125,246
16,6,1.6064453125,247
19,4,1.6064453125,248
1,4,1.607421875,249
7,7,1.607421875,250
7,14,1.607421875,251
8,0,1.607421875,252
8,14,1.607421875,253
10,1,1.607421875,254
10,13,1.607421875,255
10,15,1.607421875,256
12,0,1.607421875,257
12,3,1.607421875,258
14,3,1.607421875,259
18,3,1.607421875,260
19,10,1.607421875,261
21,15,1.607421875,262
0,3,1.6083984375,263
5,9,1.6083984375,264
7,15,1.6083984375,265
9,7,1.6083984375,266
9,8,1.6083984375,267
13,7,1.6083984375,268
16,8,1.6083984375,269
1,7,1.609375,270
1,8,1.609375,271
1,13,1.609375,272
6,9,1.609375,273
7,13,1.609375,274
8,2,1.609375,275
9,1,1.609375,276
14,11,1.609375,277
14,13,1.609375,278
14,15,1.609375,279
16,9,1.609375,280
16,14,1.609375,281
17,13,1.609375,282
20,0,1.609375,283
1,9,1.6103515625,284
4,8,1.6103515625,285
4,15,1.6103515625,286
7,1,1.6103515625,287
9,12,1.6103515625,288
9,15,1.6103515625,289
11,2,1.6103515625,290
12,7,1.6103515625,291
13,3,1.6103515625,292
14,1,1.6103515625,293
15,4,1.6103515625,294
