layer,head,mean_value,rank
33,1,-0.0767822265625,117
21,14,-0.07672119140625,118
24,17,-0.07672119140625,119
27,9,-0.07672119140625,120
2,11,-0.07666015625,121
6,13,-0.07666015625,122
9,4,-0.07666015625,123
33,19,-0.07666015625,124
17,10,-0.0765380859375,125
5,4,-0.07647705078125,126
13,13,-0.07647705078125,127
17,17,-0.076416015625,128
31,7,-0.076416015625,129
18,10,-0.07635498046875,130
19,10,-0.07635498046875,131
4,16,-0.0762939453125,132
17,6,-0.0762939453125,133
20,8,-0.076171875,134
21,8,-0.076171875,135
29,9,-0.076171875,136
12,12,-0.07611083984375,137
24,9,-0.07611083984375,138
32,4,-0.0760498046875,139
7,6,-0.075927734375,140
17,18,-0.07586669921875,141
26,3,-0.07586669921875,142
28,0,-0.07586669921875,143
32,8,-0.07586669921875,144
13,17,-0.0758056640625,145
10,4,-0.07574462890625,146
24,3,-0.07574462890625,147
1,10,-0.07568359375,148
15,4,-0.07568359375,149
1,6,-0.07562255859375,150
6,5,-0.07562255859375,151
20,16,-0.0755615234375,152
3,15,-0.07550048828125,153
6,9,-0.07550048828125,154
17,4,-0.07550048828125,155
27,17,-0.07550048828125,156
2,8,-0.075439453125,157
5,12,-0.075439453125,158
14,17,-0.075439453125,159
22,0,-0.075439453125,160
5,3,-0.07537841796875,161
8,7,-0.07537841796875,162
8,16,-0.07537841796875,163
28,13,-0.07537841796875,164
20,1,-0.0753173828125,165
20,11,-0.0753173828125,166
30,4,-0.0753173828125,167
1,18,-0.07525634765625,168
15,19,-0.07525634765625,169
29,19,-0.07525634765625,170
1,9,-0.0751953125,171
11,15,-0.07513427734375,172
14,4,-0.07513427734375,173
16,0,-0.07513427734375,174
28,15,-0.07513427734375,175
2,5,-0.07501220703125,176
10,8,-0.07501220703125,177
25,9,-0.07501220703125,178
2,19,-0.074951171875,179
24,16,-0.074951171875,180
4,19,-0.07489013671875,181
29,2,-0.07489013671875,182
19,15,-0.0748291015625,183
2,4,-0.07470703125,184
10,2,-0.07470703125,185
19,18,-0.07470703125,186
2,6,-0.07464599609375,187
12,15,-0.07464599609375,188
25,11,-0.07464599609375,189
33,10,-0.07464599609375,190
5,17,-0.0745849609375,191
11,13,-0.0745849609375,192
13,15,-0.0745849609375,193
17,16,-0.0745849609375,194
18,5,-0.0745849609375,195
1,3,-0.07452392578125,196
7,13,-0.07452392578125,197
23,13,-0.07452392578125,198
28,19,-0.07452392578125,199
32,3,-0.07452392578125,200
3,7,-0.074462890625,201
8,11,-0.074462890625,202
8,17,-0.074462890625,203
27,7,-0.074462890625,204
13,18,-0.07440185546875,205
2,16,-0.0743408203125,206
18,3,-0.0743408203125,207
26,4,-0.0743408203125,208
2,12,-0.07427978515625,209
8,5,-0.07427978515625,210
11,14,-0.07427978515625,211
16,8,-0.07427978515625,212
30,9,-0.07427978515625,213
3,16,-0.07421875,214
18,9,-0.07421875,215
30,6,-0.07421875,216
23,16,-0.07415771484375,217
